,price,year,condition,cylinders,odometer,title_status,transmission,drive,size,lat,long,weather
3237,9995,2010,3,8,144375,clean,automatic,rwd,full-size,38.611926,-121.423565,59.0
3239,8500,1991,3,8,135000,clean,automatic,rwd,full-size,33.928742,-78.19917199999999,56.0
3240,5800,2006,3,6,112413,clean,automatic,rwd,full-size,28.079232,-80.674959,65.0
3241,15900,2010,3,8,73595,clean,automatic,rwd,full-size,27.481355,-82.571616,65.0
3242,8995,2006,3,8,115500,clean,automatic,rwd,full-size,43.153573,-93.201037,47.0
3243,38995,2018,3,8,9511,clean,automatic,4wd,full-size,30.371985,-88.53920600000001,61.0
3244,14875,2012,3,8,91713,clean,automatic,4wd,full-size,38.584848,-89.985587,48.0
3245,5500,2004,2,8,211000,clean,automatic,4wd,full-size,38.386342,-85.25631,50.0
3247,33300,2016,3,8,24000,clean,automatic,4wd,full-size,42.6683,-89.0025,45.0
3248,13250,2012,3,6,62000,clean,automatic,rwd,full-size,37.291587,-107.856731,45.0
3249,18975,2014,3,6,71394,clean,automatic,4wd,full-size,30.421564,-87.25144,65.0
3250,16900,2014,2,6,64368,clean,automatic,rwd,full-size,31.316064,-89.43711400000001,61.0
3252,39500,2015,3,6,81233,clean,automatic,4wd,mid-size,34.74851,-77.41559000000001,56.0
3253,16975,2009,3,8,109614,clean,automatic,4wd,full-size,43.812223,-84.76831700000001,45.0
3254,2100,1998,1,8,197000,clean,automatic,4wd,full-size,40.0091,-76.3671,53.0
3255,6000,2001,2,8,156000,clean,automatic,4wd,full-size,40.0642,-74.6899,52.0
3256,10995,2008,2,8,145379,clean,automatic,rwd,full-size,33.946412,-117.295118,59.0
3258,26891,2013,3,8,124314,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
3259,15000,2012,2,8,200000,clean,automatic,4wd,full-size,36.669,-93.2481,52.0
3262,6995,2003,3,8,127000,clean,automatic,4wd,full-size,42.979576,-82.43341600000001,45.0
3264,26900,2015,3,6,94380,clean,automatic,4wd,full-size,33.066044,-89.593906,61.0
3265,6500,2008,3,8,136000,clean,automatic,4wd,full-size,40.406176,-105.078049,45.0
3266,13800,2009,4,8,85000,clean,automatic,4wd,full-size,41.0845,-77.5851,53.0
3268,11950,2010,2,8,172103,clean,automatic,4wd,full-size,38.692648,-82.857744,49.0
3269,26900,2013,3,8,95208,clean,automatic,4wd,full-size,36.277213,-80.339822,56.0
3270,13780,2013,3,6,122897,clean,automatic,rwd,full-size,30.483637,-97.737579,67.0
3271,8685,2003,3,8,199901,clean,automatic,4wd,full-size,38.084394,-89.339761,48.0
3272,29000,2003,3,6,145500,clean,automatic,rwd,full-size,32.259989,-110.960747,71.0
3274,23000,2008,3,8,76000,clean,automatic,rwd,full-size,34.953015,-120.416117,59.0
3279,7950,2010,3,8,230955,clean,automatic,4wd,mid-size,42.64387,-84.0733,45.0
3280,1200,1986,2,6,165000,clean,manual,rwd,full-size,39.395295,-119.894939,46.0
3285,7250,2007,3,8,121434,clean,automatic,rwd,full-size,27.875196,-82.786723,65.0
3287,10900,2008,3,8,108500,clean,automatic,4wd,full-size,42.325755,-92.209389,47.0
3289,2800,1997,2,6,201777,clean,automatic,rwd,full-size,43.523814,-96.827708,38.0
3290,5995,2005,2,8,145145,clean,automatic,4wd,full-size,39.834179,-75.124291,52.0
